category,n_gold,retr_hit,retr_miss,extr_ok,extr_miss,fp_zero_gt,fp_with_gt
Post-Termination Services,6,3,3,2,1,10,13
Parties,28,19,9,14,5,0,0
Cap On Liability,16,10,6,6,4,0,1
Effective Date,7,4,3,1,3,0,4
License Grant,8,5,3,3,2,1,5
Expiration Date,6,5,1,1,4,0,4
Audit Rights,10,7,3,4,3,0,3
Volume Restriction,8,0,8,0,0,0,0
Agreement Date,6,2,4,0,2,0,1
Minimum Commitment,8,5,3,2,3,0,1
Warranty Duration,5,4,1,1,3,0,3
Non-Compete,6,1,5,1,0,2,2
Change Of Control,3,1,2,1,0,3,4
Competitive Restriction Exception,2,2,0,0,2,3,4
Document Name,6,2,4,1,1,0,0
Revenue/Profit Sharing,4,0,4,0,0,0,1
Insurance,7,7,0,6,1,0,4
Ip Ownership Assignment,4,1,3,0,1,2,1
Governing Law,6,5,1,3,2,0,1
Non-Transferable License,1,1,0,0,1,3,2
Covenant Not To Sue,5,4,1,3,1,0,1
No-Solicit Of Customers,3,1,2,1,0,1,0
Exclusivity,5,3,2,3,0,0,0
Anti-Assignment,8,7,1,7,0,0,0
Renewal Term,1,0,1,0,0,3,0
Termination For Convenience,3,3,0,3,0,0,0
Affiliate License-Licensee,1,1,0,1,0,0,0
Unlimited/All-You-Can-Eat-License,1,1,0,1,0,1,0
Most Favored Nation,1,1,0,1,0,0,0
No-Solicit Of Employees,1,1,0,1,0,0,0
Irrevocable Or Perpetual License,1,1,0,1,0,0,0
Price Restrictions,0,0,0,0,0,8,0
Uncapped Liability,0,0,0,0,0,3,0
Non-Disparagement,0,0,0,0,0,1,0
Affiliate License-Licensor,0,0,0,0,0,1,0
Third Party Beneficiary,0,0,0,0,0,3,0
