category,n_gold,retr_hit,retr_miss,extr_ok,extr_miss,fp_zero_gt,fp_with_gt
Post-Termination Services,6,3,3,3,0,7,22
Revenue/Profit Sharing,4,3,1,1,2,0,9
Cap On Liability,16,8,8,5,3,2,1
License Grant,8,1,7,1,0,2,2
Parties,28,24,4,20,4,0,0
Volume Restriction,8,0,8,0,0,0,0
Document Name,6,3,3,2,1,0,3
Expiration Date,6,4,2,1,3,0,2
Minimum Commitment,8,4,4,2,2,0,1
Audit Rights,10,9,1,5,4,0,2
Warranty Duration,5,4,1,0,4,0,2
Anti-Assignment,8,6,2,3,3,0,1
Exclusivity,5,1,4,1,0,4,2
Covenant Not To Sue,5,5,0,2,3,0,3
Ip Ownership Assignment,4,4,0,2,2,3,4
Non-Compete,6,2,4,2,0,1,1
Agreement Date,6,5,1,5,0,0,3
Effective Date,7,3,4,3,0,0,0
Change Of Control,3,3,0,2,1,1,3
Competitive Restriction Exception,2,0,2,0,0,5,2
Governing Law,6,4,2,3,1,0,0
No-Solicit Of Customers,3,2,1,1,1,0,0
Insurance,8,8,0,7,1,0,1
Non-Transferable License,1,1,0,0,1,1,1
Affiliate License-Licensee,1,0,1,0,0,0,0
Unlimited/All-You-Can-Eat-License,1,0,1,0,0,0,0
Termination For Convenience,3,3,0,3,0,0,0
Renewal Term,1,1,0,1,0,2,0
Most Favored Nation,1,1,0,1,0,1,0
No-Solicit Of Employees,1,1,0,1,0,0,0
Irrevocable Or Perpetual License,1,1,0,1,0,0,0
Uncapped Liability,0,0,0,0,0,7,0
Non-Disparagement,0,0,0,0,0,2,0
Price Restrictions,0,0,0,0,0,4,0
Liquidated Damages,0,0,0,0,0,1,0
Third Party Beneficiary,0,0,0,0,0,1,0
