category,n_gold,retr_hit,retr_miss,extr_ok,extr_miss,fp_zero_gt,fp_with_gt
Parties,28,20,8,14,6,0,3
Post-Termination Services,6,2,4,2,0,4,12
Cap On Liability,16,7,9,4,3,4,0
Effective Date,7,3,4,0,3,0,2
Audit Rights,10,7,3,4,3,0,3
License Grant,8,3,5,2,1,0,3
Volume Restriction,8,0,8,0,0,3,0
Document Name,6,1,5,0,1,0,1
Expiration Date,6,3,3,1,2,0,2
Minimum Commitment,8,2,6,1,1,0,0
Exclusivity,5,0,5,0,0,0,2
Change Of Control,3,2,1,0,2,5,3
Revenue/Profit Sharing,4,2,2,0,2,0,2
Agreement Date,6,3,3,1,2,0,0
Warranty Duration,5,0,5,0,0,0,0
Insurance,8,7,1,6,1,0,3
Non-Compete,6,2,4,2,0,0,1
Covenant Not To Sue,5,5,0,1,4,0,1
Ip Ownership Assignment,4,4,0,2,2,2,3
No-Solicit Of Customers,3,2,1,0,2,2,0
Anti-Assignment,8,7,1,5,2,0,0
Governing Law,6,5,1,4,1,0,0
Renewal Term,1,0,1,0,0,2,0
Affiliate License-Licensee,1,0,1,0,0,0,0
Unlimited/All-You-Can-Eat-License,1,0,1,0,0,0,0
Most Favored Nation,1,0,1,0,0,0,0
Competitive Restriction Exception,2,2,0,1,1,3,0
Termination For Convenience,3,3,0,3,0,0,0
Non-Transferable License,1,1,0,1,0,1,0
No-Solicit Of Employees,1,1,0,1,0,0,0
Irrevocable Or Perpetual License,1,1,0,1,0,0,0
Price Restrictions,0,0,0,0,0,10,0
Uncapped Liability,0,0,0,0,0,9,0
Non-Disparagement,0,0,0,0,0,1,0
Notice Period To Terminate Renewal,0,0,0,0,0,1,0
Third Party Beneficiary,0,0,0,0,0,3,0
