Category,ContractsWithAnswer,TotalGoldAnswers,BIOPURE,Bizzingo,AIRSPAN,Ambassador,ColumbiaLabs,DrivenDeliveries
Parties,6,28,3,4,4,8,4,5
Anti-Assignment,6,8,1,1,1,2,2,1
Effective Date,6,7,2,1,1,1,1,1
Agreement Date,6,6,1,1,1,1,1,1
Document Name,6,6,1,1,1,1,1,1
Expiration Date,6,6,1,1,1,1,1,1
Audit Rights,5,10,2,2,1,2,3,0
Governing Law,5,6,1,0,2,1,1,1
Insurance,4,8,1,1,0,4,2,0
License Grant,4,8,0,2,3,2,0,1
Post-Termination Services,4,6,0,0,2,2,1,1
Cap On Liability,3,16,5,0,9,0,0,2
Minimum Commitment,3,9,4,0,0,3,2,0
Volume Restriction,3,8,0,2,1,5,0,0
Exclusivity,3,5,0,2,1,2,0,0
Revenue/Profit Sharing,3,4,1,1,0,2,0,0
Termination For Convenience,3,3,1,1,0,0,0,1
Non-Compete,2,6,0,0,5,0,0,1
Covenant Not To Sue,2,5,0,0,4,1,0,0
Warranty Duration,2,5,1,0,4,0,0,0
Change Of Control,2,3,1,0,0,0,2,0
No-Solicit Of Customers,2,3,2,0,0,0,0,1
Ip Ownership Assignment,1,4,0,0,0,0,0,4
Competitive Restriction Exception,1,2,0,0,0,2,0,0
Affiliate License-Licensee,1,1,0,1,0,0,0,0
Irrevocable Or Perpetual License,1,1,0,0,0,0,0,1
Most Favored Nation,1,1,0,0,1,0,0,0
No-Solicit Of Employees,1,1,0,0,0,0,0,1
Non-Transferable License,1,1,0,0,1,0,0,0
Renewal Term,1,1,0,1,0,0,0,0
Unlimited/All-You-Can-Eat-License,1,1,0,1,0,0,0,0
Affiliate License-Licensor,0,0,0,0,0,0,0,0
Joint Ip Ownership,0,0,0,0,0,0,0,0
Liquidated Damages,0,0,0,0,0,0,0,0
Non-Disparagement,0,0,0,0,0,0,0,0
Notice Period To Terminate Renewal,0,0,0,0,0,0,0,0
Price Restrictions,0,0,0,0,0,0,0,0
Rofr/Rofo/Rofn,0,0,0,0,0,0,0,0
Source Code Escrow,0,0,0,0,0,0,0,0
Third Party Beneficiary,0,0,0,0,0,0,0,0
Uncapped Liability,0,0,0,0,0,0,0,0
