method,chunking,search,k,bm25_prefilter,n_chunks,tp,fp,fn,precision,recall,f1,f2,aupr,best_f1,jaccard_avg,jaccard_best,jaccard_best_cat,jaccard_worst,jaccard_worst_cat,coverage,R_at_k,cost_usd
M1_top2_cosine,markdown,cosine,2,,60,78,109,101,0.4171,0.4358,0.4262,0.4319,0.3088,0.4262,0.4347,0.9649,No-Solicit Of Employees,0.0,Affiliate License-Licensee,0.933,0.6228,1.176954
M2_top1_cosine,markdown,cosine,1,,60,60,79,119,0.4317,0.3352,0.3774,0.3509,0.2399,0.3774,0.3174,1.0,No-Solicit Of Employees,0.0,Affiliate License-Licensee,0.933,0.485,0.619434
M3_top1_cosine_llmcheck,markdown,cosine,1,,60,48,34,131,0.5854,0.2682,0.3678,0.3008,0.2126,0.3678,0.3011,1.0,No-Solicit Of Employees,0.0,Competitive Restriction Exception,0.933,0.485,0.93992
M4_top1_bm25,markdown,bm25,1,,60,56,91,123,0.381,0.3128,0.3436,0.3244,0.216,0.3436,0.3308,1.0,No-Solicit Of Employees,0.0,Affiliate License-Licensee,0.933,0.521,1.011429
M5_section_top2_cosine,section,cosine,2,,220,56,80,123,0.4118,0.3128,0.3556,0.3286,0.2208,0.3556,0.3392,1.0,No-Solicit Of Employees,0.0,Affiliate License-Licensee,0.9888,0.4294,0.30974
H_bm5_cos1,section,hybrid,1,5,220,42,48,137,0.4667,0.2346,0.3123,0.2605,0.1721,0.3123,0.3027,1.0,Most Favored Nation,0.0,Affiliate License-Licensee,0.9888,0.322,0.210509
H_bm5_cos2,section,hybrid,2,5,220,61,80,118,0.4326,0.3408,0.3813,0.3559,0.2441,0.3813,0.4045,1.0,Termination For Convenience,0.0,Agreement Date,0.9888,0.4859,0.313191
H_bm5_cos3,section,hybrid,3,5,220,70,100,109,0.4118,0.3911,0.4011,0.395,0.276,0.4011,0.4405,1.0,Most Favored Nation,0.0,Renewal Term,0.9888,0.5876,0.398684
H_bm10_cos1,section,hybrid,1,10,220,36,51,143,0.4138,0.2011,0.2707,0.2242,0.1422,0.2707,0.2599,0.9902,Termination For Convenience,0.0,Affiliate License-Licensee,0.9888,0.2881,0.208193
H_bm10_cos2,section,hybrid,2,10,220,57,75,122,0.4318,0.3184,0.3666,0.3361,0.228,0.3666,0.3743,1.0,Most Favored Nation,0.0,Affiliate License-Licensee,0.9888,0.4407,0.309878
M6_section_hybrid_bm25_cosine,section,hybrid,3,10,220,68,97,111,0.4121,0.3799,0.3953,0.3859,0.2682,0.3953,0.39,1.0,No-Solicit Of Employees,0.0,Affiliate License-Licensee,0.9888,0.548,0.407834
M7_section_hybrid_top5,section,hybrid,5,10,220,76,131,103,0.3671,0.4246,0.3938,0.4117,0.2902,0.3938,0.4801,1.0,No-Solicit Of Employees,0.0,Renewal Term,0.9888,0.6554,0.575844
H_bm10_cos8,section,hybrid,8,10,220,88,159,91,0.3563,0.4916,0.4131,0.4569,0.3334,0.4131,0.5495,1.0,Most Favored Nation,0.0,Renewal Term,0.9888,0.7458,0.836446
H_bm15_cos1,section,hybrid,1,15,220,37,57,142,0.3936,0.2067,0.2711,0.2284,0.144,0.2711,0.286,0.9902,Termination For Convenience,0.0,Affiliate License-Licensee,0.9888,0.3051,0.208956
H_bm15_cos2,section,hybrid,2,15,220,53,81,126,0.3955,0.2961,0.3387,0.3118,0.2066,0.3387,0.3267,1.0,No-Solicit Of Employees,0.0,Affiliate License-Licensee,0.9888,0.4124,0.308169
H_bm15_cos3,section,hybrid,3,15,220,66,99,113,0.4,0.3687,0.3837,0.3746,0.2581,0.3837,0.3839,1.0,No-Solicit Of Employees,0.0,Affiliate License-Licensee,0.9888,0.5254,0.407829
H_bm15_cos5,section,hybrid,5,15,220,76,124,103,0.38,0.4246,0.4011,0.4148,0.293,0.4011,0.4579,1.0,No-Solicit Of Employees,0.0,Irrevocable Or Perpetual License,0.9888,0.6497,0.574396
H_bm15_cos8,section,hybrid,8,15,220,90,163,89,0.3557,0.5028,0.4167,0.4644,0.3408,0.4167,0.5393,1.0,Affiliate License-Licensee,0.0,Volume Restriction,0.9888,0.7571,0.836769
