containment,population,n,k,cosine_R_at_k,bm25_R_at_k
lenient,all,178,1,0.4888,0.5337
lenient,all,178,2,0.6404,0.7135
lenient,all,178,3,0.7135,0.8652
lenient,all,178,4,0.7978,0.9045
lenient,all,178,5,0.8708,0.9438
lenient,all,178,8,0.9382,0.9888
lenient,unambiguous,132,1,0.4318,0.4924
lenient,unambiguous,132,2,0.5682,0.6515
lenient,unambiguous,132,3,0.6667,0.8409
lenient,unambiguous,132,4,0.7652,0.8939
lenient,unambiguous,132,5,0.8409,0.9394
lenient,unambiguous,132,8,0.9242,0.9924
strict,all,167,1,0.485,0.521
strict,all,167,2,0.6228,0.7186
strict,all,167,3,0.6946,0.8623
strict,all,167,4,0.7964,0.9102
strict,all,167,5,0.8623,0.9341
strict,all,167,8,0.9401,0.988
strict,unambiguous,131,1,0.4351,0.4809
strict,unambiguous,131,2,0.5649,0.6718
strict,unambiguous,131,3,0.6565,0.8397
strict,unambiguous,131,4,0.771,0.9008
strict,unambiguous,131,5,0.8397,0.9313
strict,unambiguous,131,8,0.9389,0.9924
