category,n_positive_pairs,n_negative_pairs,native_tp,native_fp,native_fn,native_precision,native_recall,native_f1,native_jaccard,ce_tp,ce_tn,ce_fp,ce_fn,ce_precision,ce_recall,ce_f1,ce_jaccard_positive
Source Code Escrow,1,101,3,0,2,1.0,0.6,0.75,0.6783,1,101,0,0,1.0,1.0,1.0,0.6667
Parties,102,0,360,79,183,0.82,0.663,0.7332,0.5147,96,0,0,6,1.0,0.9412,0.9697,0.4038
Governing Law,83,19,73,14,17,0.8391,0.8111,0.8249,0.7873,69,19,0,14,1.0,0.8313,0.9079,0.7728
Insurance,32,70,65,20,52,0.7647,0.5556,0.6436,0.6057,27,68,2,5,0.931,0.8438,0.8852,0.8263
Anti-Assignment,72,30,71,29,66,0.71,0.5182,0.5992,0.5462,52,27,3,20,0.9455,0.7222,0.8189,0.6289
Audit Rights,38,64,43,30,62,0.589,0.4095,0.4831,0.4453,26,60,4,12,0.8667,0.6842,0.7647,0.5323
No-Solicit Of Employees,10,92,11,5,7,0.6875,0.6111,0.6471,0.6013,7,90,2,3,0.7778,0.7,0.7368,0.7101
Joint Ip Ownership,7,95,9,0,5,1.0,0.6429,0.7826,0.5897,4,95,0,3,1.0,0.5714,0.7273,0.4271
Agreement Date,93,9,34,123,59,0.2166,0.3656,0.272,0.3503,54,2,7,39,0.8852,0.5806,0.7013,0.259
Expiration Date,78,24,56,27,27,0.6747,0.6747,0.6747,0.6697,44,19,5,34,0.898,0.5641,0.6929,0.6531
Termination For Convenience,29,73,20,17,21,0.5405,0.4878,0.5128,0.5014,19,66,7,10,0.7308,0.6552,0.6909,0.5776
Document Name,102,0,52,39,50,0.5714,0.5098,0.5389,0.516,48,0,0,54,1.0,0.4706,0.64,0.4663
Renewal Term,26,76,24,34,7,0.4138,0.7742,0.5393,0.7334,19,59,17,7,0.5278,0.7308,0.6129,0.6969
Cap On Liability,44,58,39,21,79,0.65,0.3305,0.4382,0.3647,21,53,5,23,0.8077,0.4773,0.6,0.4167
Non-Compete,23,79,25,49,34,0.3378,0.4237,0.3759,0.4903,14,69,10,9,0.5833,0.6087,0.5957,0.3985
Effective Date,70,32,26,178,58,0.1275,0.3095,0.1806,0.3763,39,5,27,31,0.5909,0.5571,0.5735,0.2865
Exclusivity,33,69,26,26,52,0.5,0.3333,0.4,0.374,14,65,4,19,0.7778,0.4242,0.549,0.4028
No-Solicit Of Customers,7,95,4,2,11,0.6667,0.2667,0.381,0.3293,3,94,1,4,0.75,0.4286,0.5455,0.3906
Covenant Not To Sue,24,78,13,5,31,0.7222,0.2955,0.4194,0.2861,9,75,3,15,0.75,0.375,0.5,0.3271
Minimum Commitment,32,70,21,21,67,0.5,0.2386,0.3231,0.2888,12,66,4,20,0.75,0.375,0.5,0.293
Post-Termination Services,29,73,33,180,49,0.1549,0.4024,0.2237,0.4851,20,37,36,9,0.3571,0.6897,0.4706,0.3445
Liquidated Damages,14,88,15,20,8,0.4286,0.6522,0.5172,0.6445,6,82,6,8,0.5,0.4286,0.4615,0.5461
Uncapped Liability,13,89,8,12,8,0.4,0.5,0.4444,0.477,5,85,4,8,0.5556,0.3846,0.4545,0.5294
Change Of Control,26,76,29,61,33,0.3222,0.4677,0.3816,0.4571,16,47,29,10,0.3556,0.6154,0.4507,0.5153
Ip Ownership Assignment,23,79,20,37,41,0.3509,0.3279,0.339,0.3797,10,67,12,13,0.4545,0.4348,0.4444,0.3271
License Grant,50,52,51,62,84,0.4513,0.3778,0.4113,0.4115,16,45,7,34,0.6957,0.32,0.4384,0.4083
Affiliate License-Licensee,12,90,14,11,13,0.56,0.5185,0.5385,0.5036,4,87,3,8,0.5714,0.3333,0.4211,0.4922
Most Favored Nation,3,99,1,1,2,0.5,0.3333,0.4,0.1891,1,98,1,2,0.5,0.3333,0.4,0.1898
Non-Disparagement,7,95,3,3,9,0.5,0.25,0.3333,0.2486,2,94,1,5,0.6667,0.2857,0.4,0.345
Rofr/Rofo/Rofn,17,85,11,15,57,0.4231,0.1618,0.234,0.2482,5,82,3,12,0.625,0.2941,0.4,0.3073
Warranty Duration,10,92,4,6,15,0.4,0.2105,0.2759,0.2653,3,90,2,7,0.6,0.3,0.4,0.1503
Revenue/Profit Sharing,35,67,21,43,66,0.3281,0.2414,0.2781,0.2916,9,63,4,26,0.6923,0.2571,0.375,0.2634
Competitive Restriction Exception,16,86,15,60,12,0.2,0.5556,0.2941,0.6175,9,61,25,7,0.2647,0.5625,0.36,0.5625
Notice Period To Terminate Renewal,16,86,14,21,4,0.4,0.7778,0.5283,0.6772,7,70,16,9,0.3043,0.4375,0.359,0.7081
Non-Transferable License,22,80,22,51,21,0.3014,0.5116,0.3793,0.5941,11,50,30,11,0.2683,0.5,0.3492,0.5837
Unlimited/All-You-Can-Eat-License,3,99,4,5,2,0.4444,0.6667,0.5333,0.5421,1,97,2,2,0.3333,0.3333,0.3333,0.6633
Irrevocable Or Perpetual License,13,89,16,6,7,0.7273,0.6957,0.7111,0.5761,2,88,1,11,0.6667,0.1538,0.25,0.5612
Third Party Beneficiary,6,96,6,37,5,0.1395,0.5455,0.2222,0.4757,3,68,28,3,0.0968,0.5,0.1622,0.3326
Volume Restriction,17,85,4,35,31,0.1026,0.1143,0.1081,0.1238,2,74,11,15,0.1538,0.1176,0.1333,0.1003
Affiliate License-Licensor,6,96,3,10,17,0.2308,0.15,0.1818,0.189,0,91,5,6,0.0,0.0,0.0,0.1093
Price Restrictions,0,102,0,54,0,0.0,0.0,0.0,0.0,0,73,29,0,0.0,0.0,0.0,0.0
