category,n_positive_pairs,n_negative_pairs,native_tp,native_fp,native_fn,native_precision,native_recall,native_f1,native_jaccard,ce_tp,ce_tn,ce_fp,ce_fn,ce_precision,ce_recall,ce_f1,ce_jaccard_positive
Source Code Escrow,1,101,4,0,1,1.0,0.8,0.8889,0.85,1,101,0,0,1.0,1.0,1.0,0.959
Parties,102,0,371,78,172,0.8263,0.6832,0.748,0.5237,100,0,0,2,1.0,0.9804,0.9901,0.4
Governing Law,83,19,76,14,14,0.8444,0.8444,0.8444,0.8114,68,19,0,15,1.0,0.8193,0.9007,0.8028
Insurance,32,70,68,30,49,0.6939,0.5812,0.6326,0.6181,26,66,4,6,0.8667,0.8125,0.8387,0.8063
Joint Ip Ownership,7,95,10,1,4,0.9091,0.7143,0.8,0.6611,5,95,0,2,1.0,0.7143,0.8333,0.5334
Anti-Assignment,72,30,74,40,63,0.6491,0.5401,0.5896,0.5585,54,26,4,18,0.931,0.75,0.8308,0.6423
Agreement Date,93,9,37,152,56,0.1958,0.3978,0.2624,0.3875,66,1,8,27,0.8919,0.7097,0.7904,0.2605
Audit Rights,38,64,40,29,65,0.5797,0.381,0.4598,0.4536,26,59,5,12,0.8387,0.6842,0.7536,0.5212
No-Solicit Of Employees,10,92,11,5,7,0.6875,0.6111,0.6471,0.6441,7,90,2,3,0.7778,0.7,0.7368,0.7486
Expiration Date,78,24,58,22,25,0.725,0.6988,0.7117,0.7053,48,18,6,30,0.8889,0.6154,0.7273,0.6944
Effective Date,70,32,34,206,50,0.1417,0.4048,0.2099,0.4586,53,7,25,17,0.6795,0.7571,0.7162,0.2748
Non-Compete,23,79,28,45,31,0.3836,0.4746,0.4242,0.5529,17,71,8,6,0.68,0.7391,0.7083,0.4677
Document Name,102,0,58,60,44,0.4915,0.5686,0.5273,0.5888,55,0,0,47,1.0,0.5392,0.7006,0.5197
Termination For Convenience,29,73,19,17,22,0.5278,0.4634,0.4935,0.477,18,65,8,11,0.6923,0.6207,0.6545,0.5426
Renewal Term,26,76,25,34,6,0.4237,0.8065,0.5556,0.7599,20,60,16,6,0.5556,0.7692,0.6452,0.719
