rrf_k,shortlist_n,top_k,r_at_k,proj_precision,proj_recall,proj_f1,measured
10,30,16,0.8832,0.4118,0.5635,0.4758,
10,50,16,0.8832,0.4118,0.5635,0.4758,
10,20,16,0.8809,0.4123,0.5625,0.4758,
60,50,16,0.8809,0.4123,0.5625,0.4758,
60,20,16,0.8794,0.4126,0.5618,0.4758,
200,20,16,0.8794,0.4126,0.5618,0.4758,
200,50,16,0.879,0.4127,0.5616,0.4758,
200,30,16,0.8786,0.4128,0.5615,0.4758,
60,30,16,0.8779,0.413,0.5611,0.4758,
10,50,12,0.8507,0.4192,0.5492,0.4755,
10,15,12,0.8488,0.4196,0.5484,0.4755,
60,15,12,0.8484,0.4197,0.5482,0.4754,
200,15,12,0.8484,0.4197,0.5482,0.4754,
10,20,12,0.8476,0.4199,0.5479,0.4754,
10,30,12,0.8461,0.4203,0.5472,0.4754,
60,20,12,0.843,0.421,0.5459,0.4754,
200,20,12,0.843,0.421,0.5459,0.4754,
200,50,12,0.84,0.4218,0.5445,0.4753,
60,50,12,0.8396,0.4219,0.5444,0.4753,
200,30,12,0.8365,0.4226,0.543,0.4753,
60,30,12,0.8346,0.4231,0.5422,0.4753,
60,15,8,0.7856,0.4361,0.5207,0.4747,
200,15,8,0.7856,0.4361,0.5207,0.4747,
10,50,8,0.7852,0.4363,0.5205,0.4747,
10,15,8,0.7848,0.4364,0.5204,0.4747,
10,10,8,0.7837,0.4367,0.5199,0.4747,
60,10,8,0.7837,0.4367,0.5199,0.4747,
200,10,8,0.7837,0.4367,0.5199,0.4747,
10,30,8,0.7833,0.4368,0.5197,0.4747,
60,50,8,0.7806,0.4376,0.5185,0.4746,
10,20,8,0.7799,0.4378,0.5182,0.4746,
60,30,8,0.7791,0.438,0.5179,0.4746,
200,50,8,0.7787,0.4381,0.5177,0.4746,
200,30,8,0.7776,0.4385,0.5172,0.4746,
60,20,8,0.7695,0.4409,0.5137,0.4745,YES
200,20,8,0.7688,0.4411,0.5133,0.4745,
10,50,5,0.6949,0.4662,0.481,0.4734,
10,30,5,0.6941,0.4665,0.4806,0.4734,
60,50,5,0.6941,0.4665,0.4806,0.4734,
60,30,5,0.6933,0.4668,0.4803,0.4734,
10,10,5,0.693,0.4669,0.4801,0.4734,
60,10,5,0.693,0.4669,0.4801,0.4734,YES
200,10,5,0.693,0.4669,0.4801,0.4734,
200,50,5,0.693,0.4669,0.4801,0.4734,
200,30,5,0.6926,0.4671,0.4799,0.4734,
200,20,5,0.6918,0.4673,0.4796,0.4734,
10,20,5,0.6914,0.4675,0.4794,0.4734,
60,20,5,0.6907,0.4678,0.4791,0.4734,
10,15,5,0.6899,0.4681,0.4788,0.4734,
200,15,5,0.6887,0.4685,0.4783,0.4734,
60,15,5,0.6884,0.4687,0.4781,0.4734,
10,50,3,0.6007,0.5093,0.4397,0.4719,
10,30,3,0.6003,0.5095,0.4395,0.4719,
10,20,3,0.5995,0.5099,0.4392,0.4719,
10,15,3,0.5949,0.5124,0.4372,0.4718,
10,10,3,0.5934,0.5133,0.4365,0.4718,
60,10,3,0.5911,0.5146,0.4355,0.4718,
60,20,3,0.5911,0.5146,0.4355,0.4718,
200,10,3,0.5911,0.5146,0.4355,0.4718,
60,30,3,0.5907,0.5148,0.4353,0.4718,
60,50,3,0.5907,0.5148,0.4353,0.4718,
60,15,3,0.5904,0.515,0.4352,0.4717,
200,20,3,0.5904,0.515,0.4352,0.4717,
200,30,3,0.59,0.5153,0.435,0.4717,
200,50,3,0.59,0.5153,0.435,0.4717,
200,15,3,0.5896,0.5155,0.4348,0.4717,
